name 2,Country Code,m49,continent-region,sub-region,sids-region,un-member,undp-sids,un-region,Country Name,Region,Economy,LDC,SIDS,LLDC,HDI,Status,Project Count,Output Count,Budget Total,Direct Beneficiaries
Namibia,NAM,516,Africa,Sub-Saharan Africa,,yes,,African Group,Namibia,RBA,Upper middle income,,,,Medium,Done,4,7,31283198.0,193022.0
Nepal,NPL,524,Asia,Southern Asia,,yes,,Asia-Pacific Group,Nepal,RBAP,Lower middle income,LDC,,LLDC,Medium,Assumed no projects,0,0,0.0,0.0
Niger,NER,562,Africa,Sub-Saharan Africa,,yes,,African Group,Niger,RBA,Low income,LDC,,LLDC,Low,Clean Up,2,2,4146876.0,263534.0
Nigeria,NGA,566,Africa,Sub-Saharan Africa,,yes,,African Group,Nigeria,RBA,Lower middle income,,,,Low,Done,11,13,743455.2388350785,83856.0
North Macedonia,MKD,807,Europe,Southern Europe,,yes,,Eastern European Group,North Macedonia,RBEC,Upper middle income,,,LLDC,High,Clean Up,3,19,757045000.0,270750.0
Pakistan,PAK,586,Asia,Southern Asia,,yes,,Asia-Pacific Group,Pakistan,RBAP,Lower middle income,,,,Low,Clean Up,2,12,29672328.0,361880.0
"Palestine, State of",PSE,275,Asia,Western Asia,,,,WEOG,Prog for Palestinian People,RBAS,Lower middle income,,,,High,Clean Up,2,5,5000895.0,434169.75
Panama,PAN,591,Americas,Latin America and the Caribbean,,yes,,GRULAC,Panama,RBLAC,High income,,,,Very High,CO Update,2,3,5148031.0,17500.0
Papua New Guinea,PNG,598,Oceania,Melanesia,Pacific,yes,yes,Asia-Pacific Group,Papua New Guinea,RBAP,Lower middle income,,SIDS,,Medium,Clean Up,2,6,23496175.0,60500.0
Paraguay,PRY,600,Americas,Latin America and the Caribbean,,yes,,GRULAC,Paraguay,RBLAC,Upper middle income,,,LLDC,High,CO Update-3,2,3,15053739.0,0.0
Peru,PER,604,Americas,Latin America and the Caribbean,,yes,,GRULAC,Peru,RBLAC,Upper middle income,,,,High,Clean Up-2,1,3,5354586.0,14000.0
Philippines,PHL,608,Asia,South-eastern Asia,,yes,,Asia-Pacific Group,Philippines,RBAP,Lower middle income,,,,Medium,Clean Up,2,19,91119178.0,2019845.640234811
Rwanda,RWA,646,Africa,Sub-Saharan Africa,,yes,,African Group,Rwanda,RBA,Low income,LDC,,LLDC,Low,Clean Up-2,2,2,6329813.0,96325.68
Samoa,WSM,882,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,Samoa,RBAP,Lower middle income,,SIDS,,High,Clean Up,3,15,122865730.0,1186512.0
Sao Tome and Principe,STP,678,Africa,Sub-Saharan Africa,AIS,yes,yes,African Group,Sao Tome & Principe,RBA,Lower middle income,LDC,SIDS,,Medium,Clean Up,3,6,16729838.0,259628.0
Saudi Arabia,SAU,682,Asia,Western Asia,,yes,,Asia-Pacific Group,Saudi Arabia,RBAS,High income,,,,Very High,Clean Up,1,1,7939225.0,0.0
Senegal,SEN,686,Africa,Sub-Saharan Africa,,yes,,African Group,Senegal,RBA,Lower middle income,LDC,,,Low,Clean Up-2,1,1,250000.0,0.0
Serbia,SRB,688,Europe,Southern Europe,,yes,,Eastern European Group,Serbia,RBEC,Upper middle income,,,,Very High,Clean Up,3,8,11862099.0,33500.0
Sierra Leone,SLE,694,Africa,Sub-Saharan Africa,,yes,,African Group,Sierra Leone,RBA,Low income,LDC,,,Low,Assumed no projects,2,2,254000.0,2424.63
Solomon Islands,SLB,90,Oceania,Melanesia,Pacific,yes,yes,Asia-Pacific Group,Solomon Islands,RBAP,Lower middle income,LDC,SIDS,,Medium,Clean Up,1,6,15838356.0,57787.5
Somalia,SOM,706,Africa,Sub-Saharan Africa,,yes,,African Group,Somalia,RBAS,Low income,LDC,,,,Clean Up,2,3,20581339.0,461365.84
South Africa,ZAF,710,Africa,Sub-Saharan Africa,,yes,,African Group,South Africa,RBA,Upper middle income,,,,High,Clean Up,4,17,34490333.0,106085.52
South Sudan,SSD,728,Africa,Sub-Saharan Africa,,yes,,African Group,South Sudan,RBA,Low income,LDC,,LLDC,Low,Updated-2,7,8,7799699.61,9011385.0
Sri Lanka,LKA,144,Asia,Southern Asia,,yes,,Asia-Pacific Group,Sri Lanka,RBAP,Lower middle income,,,,High,Clean Up,8,17,11010243.0,75280.0
Sudan,SDN,729,Africa,Northern Africa,,yes,,African Group,Sudan,RBAS,Low income,LDC,,,Low,Missing,5,5,14412978.0,144474.0
Suriname,SUR,740,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,Suriname,RBLAC,Upper middle income,,SIDS,,High,Clean Up,1,1,753663.0,19250.0
Syrian Arab Republic,SYR,760,Asia,Western Asia,,yes,,Asia-Pacific Group,Syria,RBAS,Low income,,,,Medium,updated,1,19,688764440.0,2600311.0
Tajikistan,TJK,762,Asia,Central Asia,,yes,,Asia-Pacific Group,Tajikistan,RBEC,Lower middle income,,,LLDC,Medium,Clean Up,1,11,5409148.25,3056992.0
"Tanzania, United Republic of",TZA,834,Africa,Sub-Saharan Africa,,yes,,African Group,United Republic of Tanzania,RBA,Lower middle income,LDC,,,Low,CO Update,2,8,50364582.0,0.0
Thailand,THA,764,Asia,South-eastern Asia,,yes,,Asia-Pacific Group,Thailand,RBAP,Upper middle income,,,,Very High,Clean Up-2,2,3,2215086.0,0.0
Timor-Leste,TLS,626,Asia,South-eastern Asia,Pacific,yes,yes,Asia-Pacific Group,Timor-Leste,RBAP,Lower middle income,LDC,SIDS,,Medium,Clean Up,3,7,10332101.0,689767.11
Togo,TGO,768,Africa,Sub-Saharan Africa,,yes,,African Group,Togo,RBA,Low income,LDC,,,Low,CO Update,2,6,14673456.0,35222.5
Trinidad and Tobago,TTO,780,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,Trinidad & Tobago,RBLAC,High income,,SIDS,,Very High,Clean Up,3,13,49419944.0,4290.0
Tunisia,TUN,788,Africa,Northern Africa,,yes,,African Group,Tunisia,RBAS,Lower middle income,,,,High,Clean Up,3,14,52345066.0,0.0
Turkey,TUR,792,Asia,Western Asia,,yes,,Asia-Pacific Group,Turkey,RBEC,Upper middle income,,,,Very High,CO Update-2,7,7,16153623.0,693567.0
Turkmenistan,TKM,795,Asia,Central Asia,,yes,,Asia-Pacific Group,Turkmenistan,RBEC,Upper middle income,,,LLDC,High,Clean Up-2,2,2,8126379.0,30000.0
Uganda,UGA,800,Africa,Sub-Saharan Africa,,yes,,African Group,Uganda,RBA,Low income,LDC,,LLDC,Low,Clean Up,2,8,16410090.0,5901999.0
Ukraine,UKR,804,Europe,Eastern Europe,,yes,,Eastern European Group,Ukraine,RBEC,Lower middle income,,,,High,Missing,4,19,1012097448.0,4500000.0
Uruguay,URY,858,Americas,Latin America and the Caribbean,,yes,,GRULAC,Uruguay,RBLAC,High income,,,,Very High,CO Update,0,0,0.0,0.0
Uzbekistan,UZB,860,Asia,Central Asia,,yes,,Asia-Pacific Group,Uzbekistan,RBEC,Lower middle income,,,LLDC,High,Clean Up-2,2,2,9569725.0,13940.0
Venezuela (Bolivarian Republic of),VEN,862,Americas,Latin America and the Caribbean,,yes,,GRULAC,Venezuela,RBLAC,Low income,,,,Medium,Review,1,2,2800000000.0,0.0
Viet Nam,VNM,704,Asia,South-eastern Asia,,yes,,Asia-Pacific Group,Viet Nam,RBAP,Lower middle income,,,,High,Clean Up,4,17,28670217.0,90275.0
Yemen,YEM,887,Asia,Western Asia,,yes,,Asia-Pacific Group,Yemen,RBAS,Lower middle income,LDC,,,Low,Clean Up,3,18,212315718.0,434583.3
Zambia,ZMB,894,Africa,Sub-Saharan Africa,,yes,,African Group,Zambia,RBA,Low income,LDC,,LLDC,Medium,Not Updated,3,6,4314494.39,817561.0
Zimbabwe,ZWE,716,Africa,Sub-Saharan Africa,,yes,,African Group,Zimbabwe,RBA,Lower middle income,,,LLDC,Medium,CO Update-4,4,7,86564049.61,1912730.0
